Schedule Codes,Purpose,Level,Subject,Tutor,Day,Centre,Classroom,Capacity,Date (text),Start Time,Subject(Display),Topic,Date,Timeslot (+3hr),Form Controls,Form Option to Display
"JC SepCC<>J1 2026<>JC - Chem<>DJ<>Monday<>Buona Vista<>BV-2 (L3)<>18<>7 Sep<>10:00 am<>Reaction Kinetics","JC SepCC","J1 2026","JC - Chem","DJ","Monday","Buona Vista","BV-2 (L3)","18","07 Sep (Mon)","10:00:00 AM","J1 Chemistry","Reaction Kinetics","9/7/2026","10:00AM - 01:00PM","Open - Running","[J1 Chemistry] Buona Vista | 07 Sep (Mon) | 10:00AM - 01:00PM | Reaction Kinetics"
"JC SepCC<>J1 2026<>JC - Chem<>DJ<>Monday<>Buona Vista<>BV-2 (L3)<>18<>7 Sep<>1:00 pm<>Acid-Base Equilibria (Chemistry of Aqueous Solution 1)","JC SepCC","J1 2026","JC - Chem","DJ","Monday","Buona Vista","BV-2 (L3)","18","07 Sep (Mon)","1:00:00 PM","J1 Chemistry","Acid-Base Equilibria (Chemistry of Aqueous Solution 1)","9/7/2026","01:30PM - 04:30PM","Open - Running","[J1 Chemistry] Buona Vista | 07 Sep (Mon) | 01:30PM - 04:30PM | Acid-Base Equilibria (Chemistry of Aqueous Solution 1)"
"JC SepCC<>J1 2026<>JC - Bio<>Josh<>Friday<>Buona Vista<>BV-2 (L3)<>18<>11 Sep<>1:00 pm<>Cell Cycle","JC SepCC","J1 2026","JC - Bio","Josh","Friday","Buona Vista","BV-2 (L3)","18","11 Sep (Fri)","1:00:00 PM","J1 Biology","Cell Cycle","9/11/2026","01:30PM - 04:30PM","Open - Running","[J1 Biology] Buona Vista | 11 Sep (Fri) | 01:30PM - 04:30PM | Cell Cycle"
"JC SepCC<>J1 2026<>JC - Phy<>Enzhao<>Monday<>Tan Kah Kee<>TKK-2<>30<>7 Sep<>10:00 am<>Superposition","JC SepCC","J1 2026","JC - Phy","Enzhao","Monday","Tan Kah Kee","TKK-2","30","07 Sep (Mon)","10:00:00 AM","J1 Physics","Superposition","9/7/2026","10:00AM - 01:00PM","Open - Running","[J1 Physics] Tan Kah Kee | 07 Sep (Mon) | 10:00AM - 01:00PM | Superposition"
"JC SepCC<>J1 2026<>JC - Phy<>Enzhao<>Monday<>Tan Kah Kee<>TKK-2<>30<>7 Sep<>1:00 pm<>Gravitational Field","JC SepCC","J1 2026","JC - Phy","Enzhao","Monday","Tan Kah Kee","TKK-2","30","07 Sep (Mon)","1:00:00 PM","J1 Physics","Gravitational Field","9/7/2026","01:30PM - 04:30PM","Open - Running","[J1 Physics] Tan Kah Kee | 07 Sep (Mon) | 01:30PM - 04:30PM | Gravitational Field"
"JC SepCC<>J1 2026<>JC - Bio<>Phoebe<>Tuesday<>Tan Kah Kee<>CORO-1<>30<>8 Sep<>10:00 am<>Control of Eukaryotic Gene Expression","JC SepCC","J1 2026","JC - Bio","Phoebe","Tuesday","Tan Kah Kee","CORO-1","30","08 Sep (Tue)","10:00:00 AM","J1 Biology","Control of Eukaryotic Gene Expression","9/8/2026","10:00AM - 01:00PM","Open - Running","[J1 Biology] Tan Kah Kee | 08 Sep (Tue) | 10:00AM - 01:00PM | Control of Eukaryotic Gene Expression"
"JC SepCC<>J1 2026<>JC - Chem<>Xavier<>Thursday<>Tan Kah Kee<>CORO-1<>30<>10 Sep<>1:00 pm<>Reaction Kinetics","JC SepCC","J1 2026","JC - Chem","Xavier","Thursday","Tan Kah Kee","CORO-1","30","10 Sep (Thu)","1:00:00 PM","J1 Chemistry","Reaction Kinetics","9/10/2026","01:30PM - 04:30PM","Open - Running","[J1 Chemistry] Tan Kah Kee | 10 Sep (Thu) | 01:30PM - 04:30PM | Reaction Kinetics"
"JC SepCC<>J1 2026<>JC - Bio<>Phoebe<>Thursday<>Potong Pasir<>PP-2 (L1)<>21<>10 Sep<>10:00 am<>Control of Eukaryotic Gene Expression","JC SepCC","J1 2026","JC - Bio","Phoebe","Thursday","Potong Pasir","PP-2 (L1)","21","10 Sep (Thu)","10:00:00 AM","J1 Biology","Control of Eukaryotic Gene Expression","9/10/2026","10:00AM - 01:00PM","Open - Running","[J1 Biology] Potong Pasir | 10 Sep (Thu) | 10:00AM - 01:00PM | Control of Eukaryotic Gene Expression"
"JC SepCC<>J1 2026<>JC - Chem<>Ryan<>Friday<>Potong Pasir<>PP-2 (L1)<>21<>11 Sep<>10:00 am<>Organic Chemistry (Isomerism - Alkenes)","JC SepCC","J1 2026","JC - Chem","Ryan","Friday","Potong Pasir","PP-2 (L1)","21","11 Sep (Fri)","10:00:00 AM","J1 Chemistry","Organic Chemistry (Isomerism - Alkenes)","9/11/2026","10:00AM - 01:00PM","Open - Running","[J1 Chemistry] Potong Pasir | 11 Sep (Fri) | 10:00AM - 01:00PM | Organic Chemistry (Isomerism - Alkenes)"
"JC SepCC<>J1 2026<>JC - Chem<>Ryan<>Friday<>Potong Pasir<>PP-2 (L1)<>21<>11 Sep<>1:00 pm<>Reaction Kinetics","JC SepCC","J1 2026","JC - Chem","Ryan","Friday","Potong Pasir","PP-2 (L1)","21","11 Sep (Fri)","1:00:00 PM","J1 Chemistry","Reaction Kinetics","9/11/2026","01:30PM - 04:30PM","Open - Running","[J1 Chemistry] Potong Pasir | 11 Sep (Fri) | 01:30PM - 04:30PM | Reaction Kinetics"
"JC SepCC<>J1 2026<>JC - Phy<>Dr. Han Wei<>Saturday<>Potong Pasir<>PP-2 (L1)<>21<>12 Sep<>11:00 am<>Superposition","JC SepCC","J1 2026","JC - Phy","Dr. Han Wei","Saturday","Potong Pasir","PP-2 (L1)","21","12 Sep (Sat)","11:00:00 AM","J1 Physics","Superposition","9/12/2026","11:00AM - 02:00PM","Open - Running","[J1 Physics] Potong Pasir | 12 Sep (Sat) | 11:00AM - 02:00PM | Superposition"
"JC SepCC<>J1 2026<>JC - Chem<>Dr. Ryan<>Thursday<>Paya Lebar<>KINEX-1<>24<>10 Sep<>1:00 pm<>Organic Chemistry (Isomerism - Alkenes)","JC SepCC","J1 2026","JC - Chem","Dr. Ryan","Thursday","Paya Lebar","KINEX-1","24","10 Sep (Thu)","1:00:00 PM","J1 Chemistry","Organic Chemistry (Isomerism - Alkenes)","9/10/2026","01:30PM - 04:30PM","Open - Running","[J1 Chemistry] Paya Lebar | 10 Sep (Thu) | 01:30PM - 04:30PM | Organic Chemistry (Isomerism - Alkenes)"
"JC SepCC<>J1 2026<>JC - Bio<>Phoebe<>Monday<>Paya Lebar<>KINEX-2<>30<>7 Sep<>10:00 am<>Cell Cycle","JC SepCC","J1 2026","JC - Bio","Phoebe","Monday","Paya Lebar","KINEX-2","30","07 Sep (Mon)","10:00:00 AM","J1 Biology","Cell Cycle","9/7/2026","10:00AM - 01:00PM","Open - Running","[J1 Biology] Paya Lebar | 07 Sep (Mon) | 10:00AM - 01:00PM | Cell Cycle"
"JC SepCC<>J1 2026<>JC - Econs<>Eunice<>Friday<>Paya Lebar<>KINEX-4<>30<>11 Sep<>10:00 am<>Firms and Decisions (Mainstream)","JC SepCC","J1 2026","JC - Econs","Eunice","Friday","Paya Lebar","KINEX-4","30","11 Sep (Fri)","10:00:00 AM","J1 Economics","Firms and Decisions (Mainstream)","9/11/2026","10:00AM - 01:00PM","Open - Running","[J1 Economics] Paya Lebar | 11 Sep (Fri) | 10:00AM - 01:00PM | Firms and Decisions (Mainstream)"
"JC SepCC<>J1 2026<>JC - Bio<>Derek<>Tuesday<>Marymount<>MM-2<>27<>8 Sep<>10:00 am<>Control of Eukaryotic Gene Expression","JC SepCC","J1 2026","JC - Bio","Derek","Tuesday","Marymount","MM-2","27","08 Sep (Tue)","10:00:00 AM","J1 Biology","Control of Eukaryotic Gene Expression","9/8/2026","10:00AM - 01:00PM","Open - Running","[J1 Biology] Marymount | 08 Sep (Tue) | 10:00AM - 01:00PM | Control of Eukaryotic Gene Expression"
"JC SepCC<>J1 2026<>JC - Bio<>Melvin<>Thursday<>Marymount<>MM-2<>27<>10 Sep<>10:00 am<>Control of Eukaryotic Gene Expression","JC SepCC","J1 2026","JC - Bio","Melvin","Thursday","Marymount","MM-2","27","10 Sep (Thu)","10:00:00 AM","J1 Biology","Control of Eukaryotic Gene Expression","9/10/2026","10:00AM - 01:00PM","Open - Running","[J1 Biology] Marymount | 10 Sep (Thu) | 10:00AM - 01:00PM | Control of Eukaryotic Gene Expression"
"JC SepCC<>J1 2026<>JC - Chem<>Zoey<>Monday<>Tampines<>TP-1 (main)<>28<>7 Sep<>10:00 am<>Organic Chemistry (Isomerism - Alkenes)","JC SepCC","J1 2026","JC - Chem","Zoey","Monday","Tampines","TP-1 (main)","28","07 Sep (Mon)","10:00:00 AM","J1 Chemistry","Organic Chemistry (Isomerism - Alkenes)","9/7/2026","10:00AM - 01:00PM","Open - Running","[J1 Chemistry] Tampines | 07 Sep (Mon) | 10:00AM - 01:00PM | Organic Chemistry (Isomerism - Alkenes)"
"JC SepCC<>J1 2026<>JC - Bio<>Derek<>Wednesday<>Tampines<>TP-1 (main)<>28<>9 Sep<>1:00 pm<>Control of Eukaryotic Gene Expression","JC SepCC","J1 2026","JC - Bio","Derek","Wednesday","Tampines","TP-1 (main)","28","09 Sep (Wed)","1:00:00 PM","J1 Biology","Control of Eukaryotic Gene Expression","9/9/2026","01:30PM - 04:30PM","Open - Running","[J1 Biology] Tampines | 09 Sep (Wed) | 01:30PM - 04:30PM | Control of Eukaryotic Gene Expression"
"JC SepCC<>J1 2026<>JC - Phy<>Dr. Han Wei<>Thursday<>Tampines<>TP-1 (main)<>28<>10 Sep<>1:00 pm<>Gravitational Field","JC SepCC","J1 2026","JC - Phy","Dr. Han Wei","Thursday","Tampines","TP-1 (main)","28","10 Sep (Thu)","1:00:00 PM","J1 Physics","Gravitational Field","9/10/2026","01:30PM - 04:30PM","Open - Running","[J1 Physics] Tampines | 10 Sep (Thu) | 01:30PM - 04:30PM | Gravitational Field"
"JC SepCC<>J1 2026<>JC - Econs<>Justin<>Friday<>Tampines<>TP-4 (ext)<>35<>11 Sep<>1:00 pm<>Firms and Decisions (Mainstream)","JC SepCC","J1 2026","JC - Econs","Justin","Friday","Tampines","TP-4 (ext)","35","11 Sep (Fri)","1:00:00 PM","J1 Economics","Firms and Decisions (Mainstream)","9/11/2026","01:30PM - 04:30PM","Open - Running","[J1 Economics] Tampines | 11 Sep (Fri) | 01:30PM - 04:30PM | Firms and Decisions (Mainstream)"
"JC SepCC<>J1 2026<>JC - Phy<>Dr. Han Wei<>Sunday<>Tampines<>TP-4 (ext)<>35<>13 Sep<>11:00 am<>Superposition","JC SepCC","J1 2026","JC - Phy","Dr. Han Wei","Sunday","Tampines","TP-4 (ext)","35","13 Sep (Sun)","11:00:00 AM","J1 Physics","Superposition","9/13/2026","11:00AM - 02:00PM","Open - Running","[J1 Physics] Tampines | 13 Sep (Sun) | 11:00AM - 02:00PM | Superposition"
"JC SepCC<>J1 2026<>JC - Chem<>Jia Yi<>Tuesday<>Bishan<>BS-2<>29<>8 Sep<>1:00 pm<>Organic Chemistry (Isomerism - Alkenes)","JC SepCC","J1 2026","JC - Chem","Jia Yi","Tuesday","Bishan","BS-2","29","08 Sep (Tue)","1:00:00 PM","J1 Chemistry","Organic Chemistry (Isomerism - Alkenes)","9/8/2026","01:30PM - 04:30PM","Open - Running","[J1 Chemistry] Bishan | 08 Sep (Tue) | 01:30PM - 04:30PM | Organic Chemistry (Isomerism - Alkenes)"
"JC SepCC<>J1 2026<>JC - Chem<>Jia Yi<>Friday<>Bishan<>BS-3<>15<>11 Sep<>1:00 pm<>Organic Chemistry (Isomerism - Alkenes)","JC SepCC","J1 2026","JC - Chem","Jia Yi","Friday","Bishan","BS-3","15","11 Sep (Fri)","1:00:00 PM","J1 Chemistry","Organic Chemistry (Isomerism - Alkenes)","9/11/2026","01:30PM - 04:30PM","Open - Running","[J1 Chemistry] Bishan | 11 Sep (Fri) | 01:30PM - 04:30PM | Organic Chemistry (Isomerism - Alkenes)"
"JC SepCC<>J1 2026<>JC - Phy<>Joshua<>Thursday<>Bishan<>BS-4<>15<>10 Sep<>1:00 pm<>Gravitational Field","JC SepCC","J1 2026","JC - Phy","Joshua","Thursday","Bishan","BS-4","15","10 Sep (Thu)","1:00:00 PM","J1 Physics","Gravitational Field","9/10/2026","01:30PM - 04:30PM","Open - Running","[J1 Physics] Bishan | 10 Sep (Thu) | 01:30PM - 04:30PM | Gravitational Field"
