Scheduling code,Purpose,Level,Subject,Tutor,Day,Centre,Classroom,Capacity,Date (text),Start Time,Subject(Display),Topic,Date,Timeslot (+2hr),Form Controls,Form Option to Display
Pri Mock Exam<>P5 2026<>P5 Eng<>Ju<>Monday<>Bishan<>BS-2<>18.0<>07 Sep<>8:15AM<>,Pri Mock Exam,P5 2026,P5 Eng,Ju,Monday,Bishan,BS-2,18.0,07 Sep (Mon),,P5 English Mock Exam,Simulation 07 Sep (Mon) 8:15AM - 11:50AM · Walkthrough 10 Sep (Thu) 10:00AM - 12:00PM,9/7/2026,8:15AM - 11:50AM,Open - Running,"[P5 Eng by Ju] - Bishan, Exam Simulation: 7 Sep(Mon) 8.15AM - 11.50AM, Review: 10 Sep(Thu) 10AM - 12PM"
Pri Mock Walkthrough<>P5 2026<>P5 Eng<>Ju<>Thursday<>Bishan<>BS-6<>-<>10 Sep<>10:00AM<>,Pri Mock Walkthrough,P5 2026,P5 Eng,Ju,Thursday,Bishan,BS-6,-,10 Sep (Thu),,P5 English Mock Exam,Simulation 07 Sep (Mon) 8:15AM - 11:50AM · Walkthrough 10 Sep (Thu) 10:00AM - 12:00PM,9/10/2026,10:00AM - 12:00PM,Open - Running,"[P5 Eng by Ju] - Bishan, Exam Simulation: 7 Sep(Mon) 8.15AM - 11.50AM, Review: 10 Sep(Thu) 10AM - 12PM"
Pri Mock Exam<>P5 2026<>P5 Eng<>Kayley<>Wednesday<>King Albert Park<>KAP-6<>20.0<>09 Sep<>8:15AM<>,Pri Mock Exam,P5 2026,P5 Eng,Kayley,Wednesday,King Albert Park,KAP-6,20.0,09 Sep (Wed),,P5 English Mock Exam,Simulation 09 Sep (Wed) 8:15AM - 11:50AM · Walkthrough 11 Sep (Fri) 10:00AM - 12:00PM,9/9/2026,8:15AM - 11:50AM,Open - Running,"[P5 Eng by Kayley] - King Albert Park, Exam Simulation: 9 Sep(Wed) 8.15AM - 11.50AM, Review: 11 Sep(Fri) 10AM - 12PM"
Pri Mock Walkthrough<>P5 2026<>P5 Eng<>Kayley<>Friday<>King Albert Park<>KAP-5<>-<>11 Sep<>10:00AM<>,Pri Mock Walkthrough,P5 2026,P5 Eng,Kayley,Friday,King Albert Park,KAP-5,-,11 Sep (Fri),,P5 English Mock Exam,Simulation 09 Sep (Wed) 8:15AM - 11:50AM · Walkthrough 11 Sep (Fri) 10:00AM - 12:00PM,9/11/2026,10:00AM - 12:00PM,Open - Running,"[P5 Eng by Kayley] - King Albert Park, Exam Simulation: 9 Sep(Wed) 8.15AM - 11.50AM, Review: 11 Sep(Fri) 10AM - 12PM"
Pri Mock Exam<>P5 2026<>P5 Math<>Abi<>Wednesday<>Bishan<>BS-2<>29.0<>09 Sep<>8:15AM<>,Pri Mock Exam,P5 2026,P5 Math,Abi,Wednesday,Bishan,BS-2,29.0,09 Sep (Wed),,P5 Math Mock Exam,Simulation 09 Sep (Wed) 8:15AM - 11:20AM · Walkthrough 11 Sep (Fri) 12:30PM - 2:30PM,9/9/2026,8:15AM - 11:20AM,Open - Running,"[P5 Math by Abi] - Bishan, Exam Simulation: 9 Sep(Wed) 8.15AM - 11.20AM, Review: 11 Sep(Fri) 12.30PM - 2.30PM"
Pri Mock Walkthrough<>P5 2026<>P5 Math<>Abi<>Friday<>Bishan<>BS-2<>-<>11 Sep<>12:30PM<>,Pri Mock Walkthrough,P5 2026,P5 Math,Abi,Friday,Bishan,BS-2,-,11 Sep (Fri),,P5 Math Mock Exam,Simulation 09 Sep (Wed) 8:15AM - 11:20AM · Walkthrough 11 Sep (Fri) 12:30PM - 2:30PM,9/11/2026,12:30PM - 2:30PM,Open - Running,"[P5 Math by Abi] - Bishan, Exam Simulation: 9 Sep(Wed) 8.15AM - 11.20AM, Review: 11 Sep(Fri) 12.30PM - 2.30PM"
Pri Mock Exam<>P5 2026<>P5 Math<>Mahadir<>Tuesday<>King Albert Park<>KAP-5<>18.0<>08 Sep<>8:15AM<>,Pri Mock Exam,P5 2026,P5 Math,Mahadir,Tuesday,King Albert Park,KAP-5,18.0,08 Sep (Tue),,P5 Math Mock Exam,Simulation 08 Sep (Tue) 8:15AM - 11:20AM · Walkthrough 09 Sep (Wed) 12:30PM - 2:30PM,9/8/2026,8:15AM - 11:20AM,Open - Running,"[P5 Math by Mahadir] - King Albert Park, Exam Simulation: 8 Sep(Tue) 8.15AM - 11.20AM, Review: 9 Sep(Wed) 12.30PM - 2.30PM"
Pri Mock Walkthrough<>P5 2026<>P5 Math<>Mahadir<>Wednesday<>King Albert Park<>KAP-4<>-<>09 Sep<>12:30PM<>,Pri Mock Walkthrough,P5 2026,P5 Math,Mahadir,Wednesday,King Albert Park,KAP-4,-,09 Sep (Wed),,P5 Math Mock Exam,Simulation 08 Sep (Tue) 8:15AM - 11:20AM · Walkthrough 09 Sep (Wed) 12:30PM - 2:30PM,9/9/2026,12:30PM - 2:30PM,Open - Running,"[P5 Math by Mahadir] - King Albert Park, Exam Simulation: 8 Sep(Tue) 8.15AM - 11.20AM, Review: 9 Sep(Wed) 12.30PM - 2.30PM"
Pri Mock Exam<>P5 2026<>P5 Sci<>Kat<>Tuesday<>Bishan<>BS-2<>15.0<>08 Sep<>8:15AM<>,Pri Mock Exam,P5 2026,P5 Sci,Kat,Tuesday,Bishan,BS-2,15.0,08 Sep (Tue),,P5 Science Mock Exam,Simulation 08 Sep (Tue) 8:15AM - 10:00AM · Walkthrough 09 Sep (Wed) 12:30PM - 2:30PM,9/8/2026,8:15AM - 10:00AM,Open - Running,"[P5 Sci by Kat] - Bishan, Exam Simulation: 8 Sep(Tue) 8.15AM - 10AM, Review: 9 Sep(Wed) 12.30PM - 2.30PM"
Pri Mock Walkthrough<>P5 2026<>P5 Sci<>Kat<>Wednesday<>Bishan<>BS-3<>-<>09 Sep<>12:30PM<>,Pri Mock Walkthrough,P5 2026,P5 Sci,Kat,Wednesday,Bishan,BS-3,-,09 Sep (Wed),,P5 Science Mock Exam,Simulation 08 Sep (Tue) 8:15AM - 10:00AM · Walkthrough 09 Sep (Wed) 12:30PM - 2:30PM,9/9/2026,12:30PM - 2:30PM,Open - Running,"[P5 Sci by Kat] - Bishan, Exam Simulation: 8 Sep(Tue) 8.15AM - 10AM, Review: 9 Sep(Wed) 12.30PM - 2.30PM"
