Scheduling code,Purpose,Level,Subject,Tutor,Day,Centre,Classroom,Capacity,Date (text),Start Time,Subject(Display),Topic,Date,Timeslot (+2hr),Video Guides,Address,Address Var,Form Question,Form Controls,Form Option to Display,ConfirmationMsg Template,Form Entry,Duplicate class,No. Regular S,No. Signups,Total Signups,Signups / Capacity,No. Confirmed,Total Signups | Confirmed | Capacity,Confirmed Capacity%,Level,Level1,Subject,Subject1,Subject2,Centre,Tutor,Checked (ops),Uncontacted Count
,,,,,,,,9999,,,,,,,,,,P4 English,Manually Open,Waitlist - P4 English,Waitlist - P4 English,Waitlist - P4 English,,,,,,,,,P4,Pri,Waitlist - English,Waitlist - English,Waitlist - English,-,-,,0
,,,,,,,,9999,,,,,,,,,,P4 Math,Manually Open,Waitlist - P4 Math,Waitlist - P4 Math,Waitlist - P4 Math,,,,,,,,,P5,Pri,Waitlist - Math,Waitlist - Math,Waitlist - Math,-,-,,0
,,,,,,,,9999,,,,,,,,,,P4 Science,Manually Open,Waitlist - P4 Science,Waitlist - P4 Science,Waitlist - P4 Science,,,,,,,,,P6,Pri,Waitlist - Science,Waitlist - Science,Waitlist - Science,-,-,,0
,,,,,,,,9999,,,,,,,,,,P5 English,Manually Open,Waitlist - P5 English,Waitlist - P5 English,Waitlist - P5 English,,,,,,,,,P4,Pri,Waitlist - English,Waitlist - English,Waitlist - English,-,-,,0
,,,,,,,,9999,,,,,,,,,,P5 Math,Manually Open,Waitlist - P5 Math,Waitlist - P5 Math,Waitlist - P5 Math,,,,,,,,,P5,Pri,Waitlist - Math,Waitlist - Math,Waitlist - Math,-,-,,0
,,,,,,,,9999,,,,,,,,,,P5 Science,Manually Open,Waitlist - P5 Science,Waitlist - P5 Science,Waitlist - P5 Science,,,,,,,,,P6,Pri,Waitlist - Science,Waitlist - Science,Waitlist - Science,-,-,,0
,,,,,,,,9999,,,,,,,,,,P5 Mock Exam English,Manually Open,Waitlist - P5 Mock Exam English,Waitlist - P5 Mock Exam English,Waitlist - P5 Mock Exam English,,,,,,,,,P4,Pri,Waitlist - English,Waitlist - English,Waitlist - English,-,-,,0
,,,,,,,,9999,,,,,,,,,,P5 Mock Exam Math,Manually Open,Waitlist - P5 Mock Exam Math,Waitlist - P5 Mock Exam Math,Waitlist - P5 Mock Exam Math,,,,,,,,,P5,Pri,Waitlist - Math,Waitlist - Math,Waitlist - Math,-,-,,0
,,,,,,,,9999,,,,,,,,,,P5 Mock Exam Science,Manually Open,Waitlist - P5 Mock Exam Science,Waitlist - P5 Mock Exam Science,Waitlist - P5 Mock Exam Science,,,,,,,,,P6,Pri,Waitlist - Science,Waitlist - Science,Waitlist - Science,-,-,,0
,,,,,,,,9999,,,,,,,,,,P6 Mock Exam English,Manually Open,Waitlist - P6 Mock Exam English,Waitlist - P6 Mock Exam English,Waitlist - P6 Mock Exam English,,,0,0,,,0 |  | 9999,0.00%,,,,,,,,FALSE,0
,,,,,,,,9999,,,,,,,,,,P6 Mock Exam Math,Manually Open,Waitlist - P6 Mock Exam Math,Waitlist - P6 Mock Exam Math,Waitlist - P6 Mock Exam Math,,,0,0,,,0 |  | 9999,0.00%,,,,,,,,FALSE,0
,,,,,,,,9999,,,,,,,,,,P6 Mock Exam Science,Manually Open,Waitlist - P6 Mock Exam Science,Waitlist - P6 Mock Exam Science,Waitlist - P6 Mock Exam Science,,,0,0,,,0 |  | 9999,0.00%,,,,,,,,FALSE,0
Pri SepCC<>P4 2026<>Pri - Math<>Abi<>Monday<>Bishan<>BS-3<>15<>7 Sep<>10:00 am<>,Pri SepCC,P4 2026,Pri - Math,Abi,Monday,Bishan,BS-3,15,07 Sep (Mon),10:00:00 AM,P4 Math,Heuristics Revision,9/7/2026,10:00AM - 11:30AM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,51 Bishan Street 13 #03-01 (Bishan CC) S579799  (Video Guide: bit.ly/zenithBISHAN),P4 Math,Closed - Running,,P4 Math - Bishan - 07 Sep Mon 10:00AM,[P4 Math] Bishan | 07 Sep (Mon) | 10:00AM - 11:30AM,0,,3,3,3 / 15,,3 |  | 15,0.00%,P4,Pri,PMath,PMath,PMath,Bishan CC,Abi,FALSE,1
Pri SepCC<>P4 2026<>Pri - Science<>Katherine<>Wednesday<>Bishan<>BS-3<>15<>9 Sep<>10:00 am<>,Pri SepCC,P4 2026,Pri - Science,Katherine,Wednesday,Bishan,BS-3,15,09 Sep (Wed),10:00:00 AM,P4 Science,Heat Energy Revision,9/9/2026,10:00AM - 11:30AM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,51 Bishan Street 13 #03-01 (Bishan CC) S579799  (Video Guide: bit.ly/zenithBISHAN),P4 Science,Closed - Running,,P4 Science - Bishan - 09 Sep Wed 10:00AM,[P4 Science] Bishan | 09 Sep (Wed) | 10:00AM - 11:30AM,0,,11,11,11 / 15,,11 |  | 15,0.00%,P4,Pri,PSci,PSci,PSci,Bishan CC,Katherine,FALSE,1
Pri SepCC<>P5 2026<>Pri - Eng<>Jolene<>Monday<>Bishan<>BS-5<>15<>7 Sep<>5:00 pm<>,Pri SepCC,P5 2026,Pri - Eng,Jolene,Monday,Bishan,BS-5,15,07 Sep (Mon),5:00:00 PM,P5 English,Comprehension Open Ended,9/7/2026,05:00PM - 07:00PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,51 Bishan Street 13 #03-01 (Bishan CC) S579799  (Video Guide: bit.ly/zenithBISHAN),P5 English,Closed - Running,,P5 English - Bishan - 07 Sep Mon 05:00PM,[P5 English] Bishan | 07 Sep (Mon) | 05:00PM - 07:00PM,0,,14,14,14 / 15,,14 |  | 15,0.00%,P5,Pri,PEng,PEng,PEng,Bishan CC,Jolene,FALSE,1
Pri SepCC<>P4 2026<>Pri - Math<>Jeff<>Sunday<>Bishan<>BS-6<>18<>6 Sep<>11:00 am<>,Pri SepCC,P4 2026,Pri - Math,Jeff,Sunday,Bishan,BS-6,18,06 Sep (Sun),11:00:00 AM,P4 Math,Heuristics Revision,9/6/2026,11:00AM - 12:30PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,51 Bishan Street 13 #03-01 (Bishan CC) S579799  (Video Guide: bit.ly/zenithBISHAN),P4 Math,Closed - Running,,P4 Math - Bishan - 06 Sep Sun 11:00AM,[P4 Math] Bishan | 06 Sep (Sun) | 11:00AM - 12:30PM,0,,1,1,1 / 18,,1 |  | 18,0.00%,P4,Pri,PMath,PMath,PMath,Bishan CC,Jeff,FALSE,0
Pri SepCC<>P5 2026<>Pri - Math<>Jeff<>Sunday<>Bishan<>BS-6<>18<>6 Sep<>2:00 pm<>,Pri SepCC,P5 2026,Pri - Math,Jeff,Sunday,Bishan,BS-6,18,06 Sep (Sun),2:00:00 PM,P5 Math,Heuristics Revision,9/6/2026,02:00PM - 04:00PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,51 Bishan Street 13 #03-01 (Bishan CC) S579799  (Video Guide: bit.ly/zenithBISHAN),P5 Math,Closed - Running,,P5 Math - Bishan - 06 Sep Sun 02:00PM,[P5 Math] Bishan | 06 Sep (Sun) | 02:00PM - 04:00PM,0,,1,1,1 / 18,,1 |  | 18,0.00%,P5,Pri,PMath,PMath,PMath,Bishan CC,Jeff,FALSE,0
Pri SepCC<>P5 2026<>Pri - Science<>Katherine<>Thursday<>Bishan<>BS-6<>18<>10 Sep<>12:00 pm<>,Pri SepCC,P5 2026,Pri - Science,Katherine,Thursday,Bishan,BS-6,18,10 Sep (Thu),12:00:00 PM,P5 Science,Water Cycle Revision,9/10/2026,12:30PM - 02:30PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,51 Bishan Street 13 #03-01 (Bishan CC) S579799  (Video Guide: bit.ly/zenithBISHAN),P5 Science,Closed - Running,,P5 Science - Bishan - 10 Sep Thu 12:30PM,[P5 Science] Bishan | 10 Sep (Thu) | 12:30PM - 02:30PM,0,,15,15,15 / 18,,15 |  | 18,0.00%,P5,Pri,PSci,PSci,PSci,Bishan CC,Katherine,FALSE,3
