Scheduling code,Purpose,Subject,Level,Topic,Tutor,Centre,Classroom,Capacity,Date (text),Start Time,Date,Timeslot (+3hr),Video Guides,Address,Subject1,Subject2,Subject(Display),Level1,CC Type,Form Question,ConfirmationMsg Template,Form Entry,,,Duplicate class,Remarks,No. Regular S,No. Signups,,Total Signups,No. Confirmed,Total Signups | Confirmed | Capacity,Confirmed Capacity%,Actual Confirmed,Attendance,Conversion,Form Controls,Form Option to Display
"Sep CC - JC<>JC - Chem<>J1<>Acid-Base Equilibria (NYJC, TMJC, EJC, VJC Only)<>Zoey<>Tampines<>TP-1 (main)<>28<>10 Sep (Wed)<>10:00 am",Sep CC - JC,JC - Chem,J1,"Acid-Base Equilibria (NYJC, TMJC, EJC, VJC Only)",Zoey,Tampines,TP-1 (main),28,10 Sep (Wed),10:00:00 AM,9/10/2025,10:00AM - 01:00PM,bit.ly/zenithTP,1 Tampines Central #08-10 (CPF Building) SS529508,CHEM,CHEM,Chemistry,J1,,Chemistry,J1 Chemistry - Tampines - 10 Sep (Wed) 10:00AM,"[J1 Chemistry] Acid-Base Equilibria (NYJC, TMJC, EJC, VJC Only) - 10 Sep (Wed) | 10:00AM - 01:00PM | Tampines",,,0,,,0,,0,0,0 | 0 | 28,0.00%,0,0,,Default,"[J1 Chemistry] Acid-Base Equilibria (NYJC, TMJC, EJC, VJC Only) - 10 Sep (Wed) | 10:00AM - 01:00PM | Tampines"
Sep CC - JC<>JC - Bio<>J1<>Cancer<>Melvin<>Bukit Panjang<>BP-1 (JC)<>24<>12 Sep (Fri)<>10:00 am,Sep CC - JC,JC - Bio,J1,Cancer,Melvin,Bukit Panjang,BP-1 (JC),24,12 Sep (Fri),10:00:00 AM,9/12/2025,10:00AM - 01:00PM,bit.ly/zenithBP,1 Woodlands Road #01-10 (Junction10) S677899,BIO,BIO,Biology,J1,,Biology,J1 Biology - Bukit Panjang - 12 Sep (Fri) 10:00AM,[J1 Biology] Cancer - 12 Sep (Fri) | 10:00AM - 01:00PM | Bukit Panjang,,,0,,,0,,0,0,0 | 0 | 24,0.00%,0,0,,Default,[J1 Biology] Cancer - 12 Sep (Fri) | 10:00AM - 01:00PM | Bukit Panjang
Sep CC - JC<>JC - Bio<>J1<>Cancer<>Josh<>Buona Vista<>BV-2 (L3)<>22<>12 Sep (Fri)<>10:00 am,Sep CC - JC,JC - Bio,J1,Cancer,Josh,Buona Vista,BV-2 (L3),22,12 Sep (Fri),10:00:00 AM,9/12/2025,10:00AM - 01:00PM,bit.ly/zenithBV,35 Rochester Dr #02-23 (Rochester Mall) S138639,BIO,BIO,Biology,J1,,Biology,J1 Biology - Buona Vista - 12 Sep (Fri) 10:00AM,[J1 Biology] Cancer - 12 Sep (Fri) | 10:00AM - 01:00PM | Buona Vista,,,0,,,0,,0,0,0 | 0 | 22,0.00%,0,0,,Default,[J1 Biology] Cancer - 12 Sep (Fri) | 10:00AM - 01:00PM | Buona Vista
Sep CC - JC<>JC - Bio<>J1<>Cancer<>Melvin<>Tan Kah Kee<>CORO-1<>30<>11 Sep (Thu)<>10:00 am,Sep CC - JC,JC - Bio,J1,Cancer,Melvin,Tan Kah Kee,CORO-1,30,11 Sep (Thu),10:00:00 AM,9/11/2025,10:00AM - 01:00PM,bit.ly/zenithCORO,"587 Bukit Timah Rd, #01-05 Coronation Plaza (Beside KFC) S269707",BIO,BIO,Biology,J1,,Biology,J1 Biology - Tan Kah Kee - 11 Sep (Thu) 10:00AM,[J1 Biology] Cancer - 11 Sep (Thu) | 10:00AM - 01:00PM | Tan Kah Kee,,,0,,,0,,0,0,0 | 0 | 30,0.00%,0,0,,Default,[J1 Biology] Cancer - 11 Sep (Thu) | 10:00AM - 01:00PM | Tan Kah Kee
Sep CC - JC<>JC - Bio<>J1<>Control of Ekaryotic Gene Expression<>Melvin<>Bukit Panjang<>BP-1 (JC)<>24<>08 Sep (Mon)<>10:00 am,Sep CC - JC,JC - Bio,J1,Control of Ekaryotic Gene Expression,Melvin,Bukit Panjang,BP-1 (JC),24,08 Sep (Mon),10:00:00 AM,9/8/2025,10:00AM - 01:00PM,bit.ly/zenithBP,1 Woodlands Road #01-10 (Junction10) S677899,BIO,BIO,Biology,J1,,Biology,J1 Biology - Bukit Panjang - 08 Sep (Mon) 10:00AM,[J1 Biology] Control of Ekaryotic Gene Expression - 08 Sep (Mon) | 10:00AM - 01:00PM | Bukit Panjang,,,0,,,0,,0,0,0 | 0 | 24,0.00%,0,0,,Default,[J1 Biology] Control of Ekaryotic Gene Expression - 08 Sep (Mon) | 10:00AM - 01:00PM | Bukit Panjang
Sep CC - JC<>JC - Bio<>J1<>Control of Ekaryotic Gene Expression<>Derek<>Marymount<>MM-1<>28<>12 Sep (Fri)<>1:00 pm,Sep CC - JC,JC - Bio,J1,Control of Ekaryotic Gene Expression,Derek,Marymount,MM-1,28,12 Sep (Fri),1:00:00 PM,9/12/2025,01:00PM - 04:00PM,bit.ly/zenithMM,183 Upper Thomson Road B1-05 (Longhaus) S574429,BIO,BIO,Biology,J1,,Biology,J1 Biology - Marymount - 12 Sep (Fri) 1:00PM,[J1 Biology] Control of Ekaryotic Gene Expression - 12 Sep (Fri) | 01:00PM - 04:00PM | Marymount,,,0,,,0,,0,0,0 | 0 | 28,0.00%,0,0,,Default,[J1 Biology] Control of Ekaryotic Gene Expression - 12 Sep (Fri) | 01:00PM - 04:00PM | Marymount
Sep CC - JC<>JC - Bio<>J1<>Control of Ekaryotic Gene Expression<>Josh<>Paya Lebar<>KINEX-5<>22<>09 Sep (Tue)<>10:00 am,Sep CC - JC,JC - Bio,J1,Control of Ekaryotic Gene Expression,Josh,Paya Lebar,KINEX-5,22,09 Sep (Tue),10:00:00 AM,9/9/2025,10:00AM - 01:00PM,bit.ly/zenithKINEX,11 Tanjong Katong Rd #02-09 (KINEX Mall) S437157,BIO,BIO,Biology,J1,,Biology,J1 Biology - Paya Lebar - 09 Sep (Tue) 10:00AM,[J1 Biology] Control of Ekaryotic Gene Expression - 09 Sep (Tue) | 10:00AM - 01:00PM | Paya Lebar,,,0,,,0,,0,0,0 | 0 | 22,0.00%,0,0,,Default,[J1 Biology] Control of Ekaryotic Gene Expression - 09 Sep (Tue) | 10:00AM - 01:00PM | Paya Lebar
Sep CC - JC<>JC - Bio<>J1<>Control of Ekaryotic Gene Expression<>Phoebe<>Potong Pasir<>PP-2 (L1)<>21<>12 Sep (Fri)<>10:00 am,Sep CC - JC,JC - Bio,J1,Control of Ekaryotic Gene Expression,Phoebe,Potong Pasir,PP-2 (L1),21,12 Sep (Fri),10:00:00 AM,9/12/2025,10:00AM - 01:00PM,bit.ly/zenithPP,25 Tai Thong Crescent (Beside 7-11) S347856,BIO,BIO,Biology,J1,,Biology,J1 Biology - Potong Pasir - 12 Sep (Fri) 10:00AM,[J1 Biology] Control of Ekaryotic Gene Expression - 12 Sep (Fri) | 10:00AM - 01:00PM | Potong Pasir,,,0,,,0,,0,0,0 | 0 | 21,0.00%,0,0,,Default,[J1 Biology] Control of Ekaryotic Gene Expression - 12 Sep (Fri) | 10:00AM - 01:00PM | Potong Pasir
Sep CC - JC<>JC - Bio<>J1<>Control of Ekaryotic Gene Expression<>Derek<>Tampines<>TP-4 (ext)<>35<>10 Sep (Wed)<>10:00 am,Sep CC - JC,JC - Bio,J1,Control of Ekaryotic Gene Expression,Derek,Tampines,TP-4 (ext),35,10 Sep (Wed),10:00:00 AM,9/10/2025,10:00AM - 01:00PM,bit.ly/zenithTP,1 Tampines Central #08-10 (CPF Building) SS529508,BIO,BIO,Biology,J1,,Biology,J1 Biology - Tampines - 10 Sep (Wed) 10:00AM,[J1 Biology] Control of Ekaryotic Gene Expression - 10 Sep (Wed) | 10:00AM - 01:00PM | Tampines,,,0,,,0,,0,0,0 | 0 | 35,0.00%,0,0,,Default,[J1 Biology] Control of Ekaryotic Gene Expression - 10 Sep (Wed) | 10:00AM - 01:00PM | Tampines
Sep CC - JC<>JC - Bio<>J1<>Control of Ekaryotic Gene Expression<>Phoebe<>Tan Kah Kee<>CORO-1<>30<>10 Sep (Wed)<>10:00 am,Sep CC - JC,JC - Bio,J1,Control of Ekaryotic Gene Expression,Phoebe,Tan Kah Kee,CORO-1,30,10 Sep (Wed),10:00:00 AM,9/10/2025,10:00AM - 01:00PM,bit.ly/zenithCORO,"587 Bukit Timah Rd, #01-05 Coronation Plaza (Beside KFC) S269707",BIO,BIO,Biology,J1,,Biology,J1 Biology - Tan Kah Kee - 10 Sep (Wed) 10:00AM,[J1 Biology] Control of Ekaryotic Gene Expression - 10 Sep (Wed) | 10:00AM - 01:00PM | Tan Kah Kee,,,0,,,0,,0,0,0 | 0 | 30,0.00%,0,0,,Default,[J1 Biology] Control of Ekaryotic Gene Expression - 10 Sep (Wed) | 10:00AM - 01:00PM | Tan Kah Kee
Sep CC - JC<>JC - Bio<>J1<>Gene Expression<>Phoebe<>Potong Pasir<>PP-2 (L1)<>21<>09 Sep (Tue)<>10:00 am,Sep CC - JC,JC - Bio,J1,Gene Expression,Phoebe,Potong Pasir,PP-2 (L1),21,09 Sep (Tue),10:00:00 AM,9/9/2025,10:00AM - 01:00PM,bit.ly/zenithPP,25 Tai Thong Crescent (Beside 7-11) S347856,BIO,BIO,Biology,J1,,Biology,J1 Biology - Potong Pasir - 09 Sep (Tue) 10:00AM,[J1 Biology] Gene Expression - 09 Sep (Tue) | 10:00AM - 01:00PM | Potong Pasir,,,0,,,0,,0,0,0 | 0 | 21,0.00%,0,0,,Default,[J1 Biology] Gene Expression - 09 Sep (Tue) | 10:00AM - 01:00PM | Potong Pasir
Sep CC - JC<>JC - Bio<>J1<>Gene Expression<>Derek<>Tampines<>TP-2 (main)<>22<>10 Sep (Wed)<>1:30 pm,Sep CC - JC,JC - Bio,J1,Gene Expression,Derek,Tampines,TP-2 (main),22,10 Sep (Wed),1:30:00 PM,9/10/2025,01:30PM - 04:30PM,bit.ly/zenithTP,1 Tampines Central #08-10 (CPF Building) SS529508,BIO,BIO,Biology,J1,,Biology,J1 Biology - Tampines - 10 Sep (Wed) 1:30PM,[J1 Biology] Gene Expression - 10 Sep (Wed) | 01:30PM - 04:30PM | Tampines,,,0,,,0,,0,0,0 | 0 | 22,0.00%,0,0,,Default,[J1 Biology] Gene Expression - 10 Sep (Wed) | 01:30PM - 04:30PM | Tampines
