Scheduling code,Purpose,Subject,Level,Topic,Tutor,Centre,Classeroom,Capacity,Date (text),Start Time,Date,Timeslot (+2hr),Video Guides,Address,Subject1,Subject2,Subject(Display),Level1,CC Type,Form Question,ConfirmationMsg Template,Form Entry,,,Duplicate class,Remarks,No. Regular S,No. Signups,,Total Signups,No. Confirmed,Total Signups | Confirmed | Capacity,Confirmed Capacity%,Actual Confirmed,Attendance,Conversion,Form Controls,Form Option to Display
Sep CC - Sec<>Sec - Eng<>S1<>Personal Recount<>Matthew<>Marine Parade<>MP-5 (Pri)<>9<>06 Sep (Sat)<>11:15:00AM,Sep CC - Sec,Sec - Eng,S1,Personal Recount,Matthew,Marine Parade,MP-5 (Pri),9,06 Sep (Sat),11:15:00 AM,9/6/2025,11:15AM - 01:15PM,https://bit.ly/3B0iImz,80 Marine Parade Road #07-02 (Parkway Parade) S449269,LSEng,SEng,English,S1,Hybrid,S1 English,S1 English - Marine Parade - 06 Sep (Sat) 11:15AM,[S1 English] Marine Parade | 06 Sep (Sat) | 11:15AM - 01:15PM,,,0,,,0,,0,0,0 | 0 | 9,0.00%,0,0,,Default,[S1 English] Marine Parade | 06 Sep (Sat) | 11:15AM - 01:15PM
Sep CC - Sec<>Sec - Eng<>S1<>Personal Recount<>Matthew<>Marine Parade<>MP-4 (Pri)<>12<>09 Sep (Tue)<>7:15:00PM,Sep CC - Sec,Sec - Eng,S1,Personal Recount,Matthew,Marine Parade,MP-4 (Pri),12,09 Sep (Tue),7:15:00 PM,9/9/2025,07:15PM - 09:15PM,https://bit.ly/3B0iImz,80 Marine Parade Road #07-02 (Parkway Parade) S449269,LSEng,SEng,English,S1,Hybrid,S1 English,S1 English - Marine Parade - 09 Sep (Tue) 7:15PM,[S1 English] Marine Parade | 09 Sep (Tue) | 07:15PM - 09:15PM,,,0,,,0,,0,0,0 | 0 | 12,0.00%,0,0,,Default,[S1 English] Marine Parade | 09 Sep (Tue) | 07:15PM - 09:15PM
Sep CC - Sec<>Sec - Eng<>S1<>Personal Recount<>Matthew<>Marine Parade<>MP-5 (Pri)<>9<>12 Sep (Fri)<>3:00:00PM,Sep CC - Sec,Sec - Eng,S1,Personal Recount,Matthew,Marine Parade,MP-5 (Pri),9,12 Sep (Fri),3:00:00 PM,9/12/2025,03:00PM - 05:00PM,https://bit.ly/3B0iImz,80 Marine Parade Road #07-02 (Parkway Parade) S449269,LSEng,SEng,English,S1,Hybrid,S1 English,S1 English - Marine Parade - 12 Sep (Fri) 3:00PM,[S1 English] Marine Parade | 12 Sep (Fri) | 03:00PM - 05:00PM,,,0,,,0,,0,0,0 | 0 | 9,0.00%,0,0,,Default,[S1 English] Marine Parade | 12 Sep (Fri) | 03:00PM - 05:00PM
Sep CC - Sec<>Sec - Eng<>S1<>Personal Recount<>Matthew<>Marine Parade<>MP-5 (Pri)<>9<>13 Sep (Sat)<>11:15:00AM,Sep CC - Sec,Sec - Eng,S1,Personal Recount,Matthew,Marine Parade,MP-5 (Pri),9,13 Sep (Sat),11:15:00 AM,9/13/2025,11:15AM - 01:15PM,https://bit.ly/3B0iImz,80 Marine Parade Road #07-02 (Parkway Parade) S449269,LSEng,SEng,English,S1,Hybrid,S1 English,S1 English - Marine Parade - 13 Sep (Sat) 11:15AM,[S1 English] Marine Parade | 13 Sep (Sat) | 11:15AM - 01:15PM,,,0,,,0,,0,0,0 | 0 | 9,0.00%,0,0,,Default,[S1 English] Marine Parade | 13 Sep (Sat) | 11:15AM - 01:15PM
Sep CC - Sec<>Sec - Eng<>S1<>Personal Recount<>Natalie<>Potong Pasir<>PP-5<>12<>08 Sep (Mon)<>5:00 pm,Sep CC - Sec,Sec - Eng,S1,Personal Recount,Natalie,Potong Pasir,PP-5,12,08 Sep (Mon),5:00:00 PM,9/8/2025,05:00PM - 07:00PM,bit.ly/zenithPP,25 Tai Thong Crescent (Beside 7-11) S347856,LSEng,SEng,English,S1,Hybrid,S1 English,S1 English - Potong Pasir - 08 Sep (Mon) 5:00PM,[S1 English] Potong Pasir | 08 Sep (Mon) | 05:00PM - 07:00PM,,,0,,,0,,0,0,0 | 0 | 12,0.00%,0,0,,Default,[S1 English] Potong Pasir | 08 Sep (Mon) | 05:00PM - 07:00PM
Sep CC - Sec<>Sec - Eng<>S1<>Personal Recount<>Natalie<>Tampines<>TP-7 (main)<>10<>06 Sep (Sat)<>9:00 am,Sep CC - Sec,Sec - Eng,S1,Personal Recount,Natalie,Tampines,TP-7 (main),10,06 Sep (Sat),9:00:00 AM,9/6/2025,09:00AM - 11:00AM,bit.ly/zenithTP,1 Tampines Central #08-10 (CPF Building) SS529508,LSEng,SEng,English,S1,Hybrid,S1 English,S1 English - Tampines - 06 Sep (Sat) 9:00AM,[S1 English] Tampines | 06 Sep (Sat) | 09:00AM - 11:00AM,,,0,,,0,,0,0,0 | 0 | 10,0.00%,0,0,,Default,[S1 English] Tampines | 06 Sep (Sat) | 09:00AM - 11:00AM
"Sep CC - Sec<>Sec - LS Math<>S1<>Angles, Triangles and Polygons + Percentage + Algebraic Expressions and Formulae<>Ivy<>Bishan<>BS-3 (Pri)<>15<>11 Sep (Thu)<>10:00 am",Sep CC - Sec,Sec - LS Math,S1,"Angles, Triangles and Polygons + Percentage + Algebraic Expressions and Formulae",Ivy,Bishan,BS-3 (Pri),15,11 Sep (Thu),10:00:00 AM,9/11/2025,10:00AM - 12:00PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,LSMath,SMath,Math,S1,CC,S1 Math,S1 Math - Bishan - 11 Sep (Thu) 10:00AM,[S1 Math] Bishan | 11 Sep (Thu) | 10:00AM - 12:00PM,,,0,,,0,,0,0,0 | 0 | 15,0.00%,0,0,,Default,[S1 Math] Bishan | 11 Sep (Thu) | 10:00AM - 12:00PM
"Sep CC - Sec<>Sec - LS Math<>S1<>Angles, Triangles and Polygons + Percentage + Algebraic Expressions and Formulae<>Ivy<>Bishan<>BS-1 (Pri)<>11<>12 Sep (Fri)<>1:00 pm",Sep CC - Sec,Sec - LS Math,S1,"Angles, Triangles and Polygons + Percentage + Algebraic Expressions and Formulae",Ivy,Bishan,BS-1 (Pri),11,12 Sep (Fri),1:00:00 PM,9/12/2025,01:00PM - 03:00PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,LSMath,SMath,Math,S1,CC,S1 Math,S1 Math - Bishan - 12 Sep (Fri) 1:00PM,[S1 Math] Bishan | 12 Sep (Fri) | 01:00PM - 03:00PM,,,0,,,0,,0,0,0 | 0 | 11,0.00%,0,0,,Default,[S1 Math] Bishan | 12 Sep (Fri) | 01:00PM - 03:00PM
"Sep CC - Sec<>Sec - LS Math<>S1<>Angles, Triangles and Polygons + Percentage + Algebraic Expressions and Formulae<>Jacelyn<>Bukit Panjang<>BP-2 (JC/SS)<>12<>09 Sep (Tue)<>1:00 pm",Sep CC - Sec,Sec - LS Math,S1,"Angles, Triangles and Polygons + Percentage + Algebraic Expressions and Formulae",Jacelyn,Bukit Panjang,BP-2 (JC/SS),12,09 Sep (Tue),1:00:00 PM,9/9/2025,01:00PM - 03:00PM,bit.ly/zenithBP,1 Woodlands Road #01-10 (Junction10) S677899,LSMath,SMath,Math,S1,CC,S1 Math,S1 Math - Bukit Panjang - 09 Sep (Tue) 1:00PM,[S1 Math] Bukit Panjang | 09 Sep (Tue) | 01:00PM - 03:00PM,,,0,,,0,,0,0,0 | 0 | 12,0.00%,0,0,,Default,[S1 Math] Bukit Panjang | 09 Sep (Tue) | 01:00PM - 03:00PM
"Sep CC - Sec<>Sec - LS Math<>S1<>Angles, Triangles and Polygons + Percentage + Algebraic Expressions and Formulae<>Jacelyn<>Buona Vista<>BV-6 (L2)<>15<>08 Sep (Mon)<>10:00 am",Sep CC - Sec,Sec - LS Math,S1,"Angles, Triangles and Polygons + Percentage + Algebraic Expressions and Formulae",Jacelyn,Buona Vista,BV-6 (L2),15,08 Sep (Mon),10:00:00 AM,9/8/2025,10:00AM - 12:00PM,bit.ly/zenithBV,35 Rochester Dr #02-23 (Rochester Mall) S138639,LSMath,SMath,Math,S1,CC,S1 Math,S1 Math - Buona Vista - 08 Sep (Mon) 10:00AM,[S1 Math] Buona Vista | 08 Sep (Mon) | 10:00AM - 12:00PM,,,0,,,0,,0,0,0 | 0 | 15,0.00%,0,0,,Default,[S1 Math] Buona Vista | 08 Sep (Mon) | 10:00AM - 12:00PM
"Sep CC - Sec<>Sec - LS Math<>S1<>Angles, Triangles and Polygons + Percentage + Algebraic Expressions and Formulae<>Jacelyn<>Buona Vista<>BV-2 (L3)<>22<>10 Sep (Wed)<>10:00 am",Sep CC - Sec,Sec - LS Math,S1,"Angles, Triangles and Polygons + Percentage + Algebraic Expressions and Formulae",Jacelyn,Buona Vista,BV-2 (L3),22,10 Sep (Wed),10:00:00 AM,9/10/2025,10:00AM - 12:00PM,bit.ly/zenithBV,35 Rochester Dr #02-23 (Rochester Mall) S138639,LSMath,SMath,Math,S1,CC,S1 Math,S1 Math - Buona Vista - 10 Sep (Wed) 10:00AM,[S1 Math] Buona Vista | 10 Sep (Wed) | 10:00AM - 12:00PM,,,0,,,0,,0,0,0 | 0 | 22,0.00%,0,0,,Default,[S1 Math] Buona Vista | 10 Sep (Wed) | 10:00AM - 12:00PM
