Scheduling code,Purpose,Subject,Level,Topic,Tutor,Centre,Classroom,Capacity,Date (text),Start Time,Date,Timeslot (+3hr),Video Guides,Address,Subject1,Subject2,Level1,CC Type,Form Question,ConfirmationMsg Template,Form Entry,[Waitlist] Form Entry,,Duplicate class,Remarks,No. Regular S,No. Signups,No. Waitlist Signups,Total Signups,No. Confirmed,Total Signups | Confirmed | Capacity | Waitlist,Confirmed Capacity%,Actual Confirmed,Attendance,Conversion,Form Controls,Form Option to Display
JC - JunCC<>Biology<>JC1<>DNA Structure & Replication<>Melvin<>Bukit Panjang<>BP-1 (JC)<>24<>29 May (Thu)<>5:00 PM,JC - JunCC,Biology,JC1,DNA Structure & Replication,Melvin,Bukit Panjang,BP-1 (JC),24,29 May (Thu),5:00:00 PM,5/29/2025,05:00PM - 08:00PM,bit.ly/zenithBP,1 Woodlands Road #01-10 (Junction10) S677899,BIO,BIO,J1,CC Type,Biology,Biology - Bukit Panjang - 29 May (Thu) 5PM,[JC1 Biology] DNA Structure & Replication - 29 May (Thu) | 05:00PM - 08:00PM | Bukit Panjang,[Waitlist] [JC1 Biology] DNA Structure & Replication - 29 May (Thu) | 05:00PM - 08:00PM | Bukit Panjang,,0,,,0,0,0,0,0 | 0 | 24 | 0,0.00%,0,0,,Default,[JC1 Biology] DNA Structure & Replication - 29 May (Thu) | 05:00PM - 08:00PM | Bukit Panjang
JC - JunCC<>Biology<>JC1<>DNA Structure & Replication<>Josh<>Paya Lebar<>KINEX-2<>30<>3 Jun (Tue)<>10:00 AM,JC - JunCC,Biology,JC1,DNA Structure & Replication,Josh,Paya Lebar,KINEX-2,30,3 Jun (Tue),10:00:00 AM,6/3/2025,10:00AM - 01:00PM,bit.ly/zenithKINEX,11 Tanjong Katong Rd #02-09 (KINEX Mall) S437157,BIO,BIO,J1,CC Type,Biology,Biology - Paya Lebar - 3 Jun (Tue) 10AM,[JC1 Biology] DNA Structure & Replication - 3 Jun (Tue) | 10:00AM - 01:00PM | Paya Lebar,[Waitlist] [JC1 Biology] DNA Structure & Replication - 3 Jun (Tue) | 10:00AM - 01:00PM | Paya Lebar,,0,,,3,0,3,3,3 | 3 | 30 | 0,10.00%,3,0,,Default,[JC1 Biology] DNA Structure & Replication - 3 Jun (Tue) | 10:00AM - 01:00PM | Paya Lebar
JC - JunCC<>Biology<>JC1<>DNA Structure & Replication<>Derek<>Marymount<>MM-1<>28<>4 Jun (Wed)<>10:00 AM,JC - JunCC,Biology,JC1,DNA Structure & Replication,Derek,Marymount,MM-1,28,4 Jun (Wed),10:00:00 AM,6/4/2025,10:00AM - 01:00PM,bit.ly/zenithMM,183 Upper Thomson Road  #B1-05 (Longhaus) S574429,BIO,BIO,J1,CC Type,Biology,Biology - Marymount - 4 Jun (Wed) 10AM,[JC1 Biology] DNA Structure & Replication - 4 Jun (Wed) | 10:00AM - 01:00PM | Marymount,[Waitlist] [JC1 Biology] DNA Structure & Replication - 4 Jun (Wed) | 10:00AM - 01:00PM | Marymount,,0,,,0,0,0,0,0 | 0 | 28 | 0,0.00%,0,0,,Default,[JC1 Biology] DNA Structure & Replication - 4 Jun (Wed) | 10:00AM - 01:00PM | Marymount
JC - JunCC<>Biology<>JC1<>DNA Structure & Replication<>Melvin<>Tan Kah Kee<>CORO-1<>30<>4 Jun (Wed)<>10:00 AM,JC - JunCC,Biology,JC1,DNA Structure & Replication,Melvin,Tan Kah Kee,CORO-1,30,4 Jun (Wed),10:00:00 AM,6/4/2025,10:00AM - 01:00PM,bit.ly/zenithTKK,"587 Bukit Timah Rd, #01-05 Coronation Plaza (Beside KFC) S269707",BIO,BIO,J1,CC Type,Biology,Biology - Tan Kah Kee - 4 Jun (Wed) 10AM,[JC1 Biology] DNA Structure & Replication - 4 Jun (Wed) | 10:00AM - 01:00PM | Tan Kah Kee,[Waitlist] [JC1 Biology] DNA Structure & Replication - 4 Jun (Wed) | 10:00AM - 01:00PM | Tan Kah Kee,,0,,,1,0,1,1,1 | 1 | 30 | 0,3.33%,1,0,,Default,[JC1 Biology] DNA Structure & Replication - 4 Jun (Wed) | 10:00AM - 01:00PM | Tan Kah Kee
JC - JunCC<>Biology<>JC1<>DNA Structure & Replication<>Phoebe<>Potong Pasir<>PP-4 (L2)<>36<>5 Jun (Thu)<>1:30 PM,JC - JunCC,Biology,JC1,DNA Structure & Replication,Phoebe,Potong Pasir,PP-4 (L2),36,5 Jun (Thu),1:30:00 PM,6/5/2025,01:30PM - 04:30PM,bit.ly/zenithPP,25 Tai Thong Crescent (Beside 7-11) S347856,BIO,BIO,J1,CC Type,Biology,Biology - Potong Pasir - 5 Jun (Thu) 1PM,[JC1 Biology] DNA Structure & Replication - 5 Jun (Thu) | 01:30PM - 04:30PM | Potong Pasir,[Waitlist] [JC1 Biology] DNA Structure & Replication - 5 Jun (Thu) | 01:30PM - 04:30PM | Potong Pasir,,0,,,8,0,8,7,8 | 7 | 36 | 0,19.44%,7,0,,Default,[JC1 Biology] DNA Structure & Replication - 5 Jun (Thu) | 01:30PM - 04:30PM | Potong Pasir
JC - JunCC<>Biology<>JC1<>DNA Structure & Replication<>Derek<>Tampines<>TP-1<>28<>5 Jun (Thu)<>1:30 PM,JC - JunCC,Biology,JC1,DNA Structure & Replication,Derek,Tampines,TP-1,28,5 Jun (Thu),1:30:00 PM,6/5/2025,01:30PM - 04:30PM,bit.ly/zenithTP,1 Tampines Central #08-10 (CPF Building) SS529508,BIO,BIO,J1,CC Type,Biology,Biology - Tampines - 5 Jun (Thu) 1PM,[JC1 Biology] DNA Structure & Replication - 5 Jun (Thu) | 01:30PM - 04:30PM | Tampines,[Waitlist] [JC1 Biology] DNA Structure & Replication - 5 Jun (Thu) | 01:30PM - 04:30PM | Tampines,,0,,,2,0,2,2,2 | 2 | 28 | 0,7.14%,2,0,,Default,[JC1 Biology] DNA Structure & Replication - 5 Jun (Thu) | 01:30PM - 04:30PM | Tampines
JC - JunCC<>Biology<>JC1<>DNA Structure & Replication<>Derek<>Marymount<>MM-1<>28<>6 Jun (Fri)<>10:00 AM,JC - JunCC,Biology,JC1,DNA Structure & Replication,Derek,Marymount,MM-1,28,6 Jun (Fri),10:00:00 AM,6/6/2025,10:00AM - 01:00PM,bit.ly/zenithMM,183 Upper Thomson Road  #B1-05 (Longhaus) S574429,BIO,BIO,J1,CC Type,Biology,Biology - Marymount - 6 Jun (Fri) 10AM,[JC1 Biology] DNA Structure & Replication - 6 Jun (Fri) | 10:00AM - 01:00PM | Marymount,[Waitlist] [JC1 Biology] DNA Structure & Replication - 6 Jun (Fri) | 10:00AM - 01:00PM | Marymount,,0,,,5,0,5,4,5 | 4 | 28 | 0,14.29%,4,0,,Default,[JC1 Biology] DNA Structure & Replication - 6 Jun (Fri) | 10:00AM - 01:00PM | Marymount
JC - JunCC<>Biology<>JC1<>DNA Structure & Replication<>Melvin<>Bukit Panjang<>BP-1 (JC)<>24<>9 Jun (Mon)<>10:00 AM,JC - JunCC,Biology,JC1,DNA Structure & Replication,Melvin,Bukit Panjang,BP-1 (JC),24,9 Jun (Mon),10:00:00 AM,6/9/2025,10:00AM - 01:00PM,bit.ly/zenithBP,1 Woodlands Road #01-10 (Junction10) S677899,BIO,BIO,J1,CC Type,Biology,Biology - Bukit Panjang - 9 Jun (Mon) 10AM,[JC1 Biology] DNA Structure & Replication - 9 Jun (Mon) | 10:00AM - 01:00PM | Bukit Panjang,[Waitlist] [JC1 Biology] DNA Structure & Replication - 9 Jun (Mon) | 10:00AM - 01:00PM | Bukit Panjang,,0,,,0,0,0,0,0 | 0 | 24 | 0,0.00%,0,0,,Default,[JC1 Biology] DNA Structure & Replication - 9 Jun (Mon) | 10:00AM - 01:00PM | Bukit Panjang
JC - JunCC<>Biology<>JC1<>DNA Structure & Replication<>Phoebe<>Buona Vista<>BV-1 (L3)<>30<>10 Jun (Tue)<>10:00 AM,JC - JunCC,Biology,JC1,DNA Structure & Replication,Phoebe,Buona Vista,BV-1 (L3),30,10 Jun (Tue),10:00:00 AM,6/10/2025,10:00AM - 01:00PM,bit.ly/zenithBV,35 Rochester Dr #02-23 (Rochester Mall) S138639,BIO,BIO,J1,CC Type,Biology,Biology - Buona Vista - 10 Jun (Tue) 10AM,[JC1 Biology] DNA Structure & Replication - 10 Jun (Tue) | 10:00AM - 01:00PM | Buona Vista,[Waitlist] [JC1 Biology] DNA Structure & Replication - 10 Jun (Tue) | 10:00AM - 01:00PM | Buona Vista,,0,,,0,0,0,0,0 | 0 | 30 | 0,0.00%,0,0,,Default,[JC1 Biology] DNA Structure & Replication - 10 Jun (Tue) | 10:00AM - 01:00PM | Buona Vista
JC - JunCC<>Biology<>JC1<>DNA Structure & Replication<>Phoebe<>Paya Lebar<>KINEX-2<>30<>12 Jun (Thu)<>10:00 AM,JC - JunCC,Biology,JC1,DNA Structure & Replication,Phoebe,Paya Lebar,KINEX-2,30,12 Jun (Thu),10:00:00 AM,6/12/2025,10:00AM - 01:00PM,bit.ly/zenithKINEX,11 Tanjong Katong Rd #02-09 (KINEX Mall) S437157,BIO,BIO,J1,CC Type,Biology,Biology - Paya Lebar - 12 Jun (Thu) 10AM,[JC1 Biology] DNA Structure & Replication - 12 Jun (Thu) | 10:00AM - 01:00PM | Paya Lebar,[Waitlist] [JC1 Biology] DNA Structure & Replication - 12 Jun (Thu) | 10:00AM - 01:00PM | Paya Lebar,,0,,,0,0,0,0,0 | 0 | 30 | 0,0.00%,0,0,,Default,[JC1 Biology] DNA Structure & Replication - 12 Jun (Thu) | 10:00AM - 01:00PM | Paya Lebar
JC - JunCC<>Biology<>JC1<>DNA Structure & Replication<>Melvin<>Marymount<>MM-1<>28<>12 Jun (Thu)<>1:30 PM,JC - JunCC,Biology,JC1,DNA Structure & Replication,Melvin,Marymount,MM-1,28,12 Jun (Thu),1:30:00 PM,6/12/2025,01:30PM - 04:30PM,bit.ly/zenithMM,183 Upper Thomson Road  #B1-05 (Longhaus) S574429,BIO,BIO,J1,CC Type,Biology,Biology - Marymount - 12 Jun (Thu) 1PM,[JC1 Biology] DNA Structure & Replication - 12 Jun (Thu) | 01:30PM - 04:30PM | Marymount,[Waitlist] [JC1 Biology] DNA Structure & Replication - 12 Jun (Thu) | 01:30PM - 04:30PM | Marymount,,0,,,0,0,0,0,0 | 0 | 28 | 0,0.00%,0,0,,Default,[JC1 Biology] DNA Structure & Replication - 12 Jun (Thu) | 01:30PM - 04:30PM | Marymount
